epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,45.6479,0.69463,1.36451,1.0501,0.73825,0.66667,0.7942,0.65946,0.84078,1.95902,0.93391,0.000132276,0.000132276,0.000132276
91,46.4903,0.57781,1.24638,1.07543,0.73825,0.66667,0.7942,0.65946,0.84078,1.95902,0.93391,0.000122625,0.000122625,0.000122625
92,47.0721,0.56721,1.20396,0.96166,0.70475,0.66667,0.81987,0.69788,0.8221,1.90793,0.92328,0.000112726,0.000112726,0.000112726
93,49.3861,0.54764,1.23464,0.99574,0.70475,0.66667,0.81987,0.69788,0.8221,1.90793,0.92328,0.00010258,0.00010258,0.00010258
94,49.8416,0.58432,1.2172,0.99852,0.70475,0.66667,0.81987,0.69788,0.8221,1.90793,0.92328,9.21862e-05,9.21862e-05,9.21862e-05
95,50.2868,0.59305,1.15635,0.98544,0.70475,0.66667,0.81987,0.69788,0.8221,1.90793,0.92328,8.1545e-05,8.1545e-05,8.1545e-05
96,50.7602,0.68531,1.33637,1.10286,0.74987,0.65329,0.79255,0.64599,0.8268,1.90032,0.92378,7.06563e-05,7.06563e-05,7.06563e-05
97,51.2018,0.57536,1.18444,0.98671,0.74987,0.65329,0.79255,0.64599,0.8268,1.90032,0.92378,5.952e-05,5.952e-05,5.952e-05
98,51.6453,0.49994,1.21885,0.93058,0.74987,0.65329,0.79255,0.64599,0.8268,1.90032,0.92378,4.81363e-05,4.81363e-05,4.81363e-05
99,52.0804,0.47969,1.10466,0.95958,0.74987,0.65329,0.79255,0.64599,0.8268,1.90032,0.92378,3.6505e-05,3.6505e-05,3.6505e-05
100,52.5515,0.44651,1.05818,0.91396,0.75249,0.65213,0.79333,0.65861,0.81841,1.85366,0.92298,2.46263e-05,2.46263e-05,2.46263e-05
